"gene"	"adj.pval.sym_trt2"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa29122"	1.14721027333192e-06	"Mcavernosa29122"	"."	"."	"Mcavernosa29122"	"1-2952[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0001428"	26701	31020
"Mcavernosa01022"	1.86899477965131e-06	"Mcavernosa01022"	"TBCE_DANRE^TBCE_DANRE^Q:1-366,H:2-520^31.24%ID^E:1e-64^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`TBCE_XENLA^TBCE_XENLA^Q:127-366,H:244-522^36.49%ID^E:6e-43^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:140-366,H:310-528^37.83%ID^E:7e-37^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`TBCE_XENLA^TBCE_XENLA^Q:8-187,H:12-242^32.35%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:6-182,H:10-242^30.17%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"."	"Mcavernosa01022"	"1-2094[+]"	"TBCE_DANRE^TBCE_DANRE^Q:1-366,H:2-520^31.24%ID^E:1e-64^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`TBCE_XENLA^TBCE_XENLA^Q:127-366,H:244-522^36.49%ID^E:6e-43^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:140-366,H:310-528^37.83%ID^E:7e-37^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`TBCE_XENLA^TBCE_XENLA^Q:8-187,H:12-242^32.35%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TBCE_BOVIN^TBCE_BOVIN^Q:6-182,H:10-242^30.17%ID^E:3e-24^RecName: Full=Tubulin-specific chaperone E;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"PF01302.24^CAP_GLY^CAP-Gly domain^6-58^E:6.6e-16`PF14560.5^Ubiquitin_2^Ubiquitin-like domain^286-363^E:1.5e-08"	"."	"."	"ENOG410YS3M^Tubulin folding cofactor E"	"KEGG:dre:664760`KO:K21768"	"GO:0005737^cellular_component^cytoplasm`GO:0005856^cellular_component^cytoskeleton`GO:0007023^biological_process^post-chaperonin tubulin folding pathway"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000015"	147157	159162
"Mcavernosa19201"	2.03451379042222e-06	"Mcavernosa19201"	"AMPP1_ASPNC^AMPP1_ASPNC^Q:7-246,H:34-329^34.46%ID^E:3e-52^RecName: Full=Probable Xaa-Pro aminopeptidase P;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus`AMPP1_ASPCL^AMPP1_ASPCL^Q:7-246,H:74-369^34.46%ID^E:3e-51^RecName: Full=Probable Xaa-Pro aminopeptidase P;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus`AMPP1_EMENI^AMPP1_EMENI^Q:7-249,H:74-372^34.11%ID^E:4e-51^RecName: Full=Probable Xaa-Pro aminopeptidase P;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus"	"."	"Mcavernosa19201"	"1-1190[+]"	"AMPP1_ASPNC^AMPP1_ASPNC^Q:7-246,H:34-329^34.46%ID^E:3e-52^RecName: Full=Probable Xaa-Pro aminopeptidase P;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus`AMPP1_ASPCL^AMPP1_ASPCL^Q:7-246,H:74-369^34.46%ID^E:3e-51^RecName: Full=Probable Xaa-Pro aminopeptidase P;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus`AMPP1_EMENI^AMPP1_EMENI^Q:7-249,H:74-372^34.11%ID^E:4e-51^RecName: Full=Probable Xaa-Pro aminopeptidase P;^Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus"	"PF01321.17^Creatinase_N^Creatinase/Prolidase N-terminal domain^16-74^E:1.9e-05`PF16189.4^Creatinase_N_2^Creatinase/Prolidase N-terminal domain^94-235^E:5.8e-38"	"."	"."	"."	"."	"GO:0046872^molecular_function^metal ion binding`GO:0070006^molecular_function^metalloaminopeptidase activity"	"GO:0016787^molecular_function^hydrolase activity"	"."	"."	"Sc0000321"	279348	291567
"Mcavernosa12569"	2.12676066085962e-06	"Mcavernosa12569"	"."	"."	"Mcavernosa12569"	"1-751[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000143"	361701	368616
"Mcavernosa11202"	3.51715157221549e-06	"Mcavernosa11202"	"A16L1_HUMAN^A16L1_HUMAN^Q:9-536,H:13-604^36.23%ID^E:6e-114^RecName: Full=Autophagy-related protein 16-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`A16L1_PONAB^A16L1_PONAB^Q:9-536,H:13-604^35.92%ID^E:1e-111^RecName: Full=Autophagy-related protein 16-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`A16L1_MOUSE^A16L1_MOUSE^Q:9-536,H:13-604^35.44%ID^E:4e-110^RecName: Full=Autophagy-related protein 16-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa11202"	"1-2046[+]"	"A16L1_HUMAN^A16L1_HUMAN^Q:9-536,H:13-604^36.23%ID^E:6e-114^RecName: Full=Autophagy-related protein 16-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`A16L1_PONAB^A16L1_PONAB^Q:9-536,H:13-604^35.92%ID^E:1e-111^RecName: Full=Autophagy-related protein 16-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`A16L1_MOUSE^A16L1_MOUSE^Q:9-536,H:13-604^35.44%ID^E:4e-110^RecName: Full=Autophagy-related protein 16-1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF08614.10^ATG16^Autophagy protein 16 (ATG16)^14-169^E:2.5e-24`PF00400.31^WD40^WD domain, G-beta repeat^236-269^E:8.4e-05`PF00400.31^WD40^WD domain, G-beta repeat^283-313^E:0.24`PF00400.31^WD40^WD domain, G-beta repeat^344-380^E:2e-05`PF00400.31^WD40^WD domain, G-beta repeat^406-422^E:0.17`PF00400.31^WD40^WD domain, G-beta repeat^476-495^E:0.0018`PF00400.31^WD40^WD domain, G-beta repeat^503-536^E:0.013"	"."	"."	"ENOG410XQYA^autophagy related 16-like 1 (S. cerevisiae)"	"KEGG:hsa:55054`KO:K17890"	"GO:0005776^cellular_component^autophagosome`GO:0000421^cellular_component^autophagosome membrane`GO:0005930^cellular_component^axoneme`GO:0005829^cellular_component^cytosol`GO:0034045^cellular_component^phagophore assembly site membrane`GO:0051020^molecular_function^GTPase binding`GO:0042802^molecular_function^identical protein binding`GO:0019787^molecular_function^ubiquitin-like protein transferase activity`GO:0000045^biological_process^autophagosome assembly`GO:0016236^biological_process^macroautophagy`GO:0039689^biological_process^negative stranded viral RNA replication`GO:0051260^biological_process^protein homooligomerization`GO:0061739^biological_process^protein lipidation involved in autophagosome assembly`GO:0034497^biological_process^protein localization to phagophore assembly site`GO:0015031^biological_process^protein transport`GO:0098792^biological_process^xenophagy"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000456"	21944	48815
"Mcavernosa20880"	3.51715157221549e-06	"Mcavernosa20880"	"."	"."	"Mcavernosa20880"	"1-822[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000628"	46908	47729
"Mcavernosa03179"	8.01896898574226e-06	"Mcavernosa03179"	"."	"."	"Mcavernosa03179"	"1-963[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"xpSc0004672"	254266	255958
"Mcavernosa18756"	8.01896898574226e-06	"Mcavernosa18756"	"NUMBL_RAT^NUMBL_RAT^Q:1-164,H:42-203^57.32%ID^E:1e-60^RecName: Full=Numb-like protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`NUMBL_MOUSE^NUMBL_MOUSE^Q:1-164,H:42-203^57.32%ID^E:2e-60^RecName: Full=Numb-like protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`NUMBL_HUMAN^NUMBL_HUMAN^Q:1-164,H:42-203^57.32%ID^E:2e-60^RecName: Full=Numb-like protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa18756"	"1-5006[+]"	"NUMBL_RAT^NUMBL_RAT^Q:1-164,H:42-203^57.32%ID^E:1e-60^RecName: Full=Numb-like protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`NUMBL_MOUSE^NUMBL_MOUSE^Q:1-164,H:42-203^57.32%ID^E:2e-60^RecName: Full=Numb-like protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`NUMBL_HUMAN^NUMBL_HUMAN^Q:1-164,H:42-203^57.32%ID^E:2e-60^RecName: Full=Numb-like protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF00640.22^PID^Phosphotyrosine interaction domain (PTB/PID)^40-162^E:1.1e-22`PF14719.5^PID_2^Phosphotyrosine interaction domain (PTB/PID)^40-179^E:7.9e-07`PF08416.12^PTB^Phosphotyrosine-binding domain^41-160^E:2.2e-05"	"."	"."	"ENOG410XT15^Numb homolog"	"."	"GO:0005737^cellular_component^cytoplasm`GO:0019221^biological_process^cytokine-mediated signaling pathway`GO:0021670^biological_process^lateral ventricle development`GO:0021849^biological_process^neuroblast division in subventricular zone`GO:0050775^biological_process^positive regulation of dendrite morphogenesis`GO:0050769^biological_process^positive regulation of neurogenesis`GO:0019538^biological_process^protein metabolic process"	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000306"	298893	307540
"Mcavernosa09058"	1.11010918038381e-05	"Mcavernosa09058"	"TTC6_HUMAN^TTC6_HUMAN^Q:4-48,H:454-498^55.56%ID^E:7e-08^RecName: Full=Tetratricopeptide repeat protein 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa09058"	"1-7149[+]"	"TTC6_HUMAN^TTC6_HUMAN^Q:4-48,H:454-498^55.56%ID^E:7e-08^RecName: Full=Tetratricopeptide repeat protein 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF13176.5^TPR_7^Tetratricopeptide repeat^4-33^E:0.0027`PF13432.5^TPR_16^Tetratricopeptide repeat^4-47^E:0.0026`PF00515.27^TPR_1^Tetratricopeptide repeat^5-32^E:3.2e-07`PF13181.5^TPR_8^Tetratricopeptide repeat^5-32^E:0.0026"	"."	"."	"COG0457^repeat-containing protein"	"."	"."	"GO:0005515^molecular_function^protein binding"	"."	"."	"Sc0000211"	199921	235850
"Mcavernosa23093"	1.13283555165627e-05	"Mcavernosa23093"	"."	"."	"Mcavernosa23093"	"1-585[+]"	"."	"PF13843.5^DDE_Tnp_1_7^Transposase IS4^130-189^E:2.1e-08"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000710"	88494	89078
"Mcavernosa26209"	1.21404430482767e-05	"Mcavernosa26209"	"HMGCL_RAT^HMGCL_RAT^Q:7-114,H:26-85^45.37%ID^E:5e-17^RecName: Full=Hydroxymethylglutaryl-CoA lyase, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`HMGCL_BOVIN^HMGCL_BOVIN^Q:12-114,H:31-85^45.63%ID^E:2e-16^RecName: Full=Hydroxymethylglutaryl-CoA lyase, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`HMGCL_PONAB^HMGCL_PONAB^Q:7-114,H:26-85^44.44%ID^E:5e-16^RecName: Full=Hydroxymethylglutaryl-CoA lyase, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo"	"."	"Mcavernosa26209"	"1-854[+]"	"HMGCL_RAT^HMGCL_RAT^Q:7-114,H:26-85^45.37%ID^E:5e-17^RecName: Full=Hydroxymethylglutaryl-CoA lyase, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`HMGCL_BOVIN^HMGCL_BOVIN^Q:12-114,H:31-85^45.63%ID^E:2e-16^RecName: Full=Hydroxymethylglutaryl-CoA lyase, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`HMGCL_PONAB^HMGCL_PONAB^Q:7-114,H:26-85^44.44%ID^E:5e-16^RecName: Full=Hydroxymethylglutaryl-CoA lyase, mitochondrial;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo"	"."	"."	"."	"COG0119^Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)"	"KEGG:rno:79238`KO:K01640"	"GO:0005739^cellular_component^mitochondrion`GO:0005777^cellular_component^peroxisome`GO:0031406^molecular_function^carboxylic acid binding`GO:0000062^molecular_function^fatty-acyl-CoA binding`GO:0004419^molecular_function^hydroxymethylglutaryl-CoA lyase activity`GO:0000287^molecular_function^magnesium ion binding`GO:0030145^molecular_function^manganese ion binding`GO:0046872^molecular_function^metal ion binding`GO:0042803^molecular_function^protein homodimerization activity`GO:0005102^molecular_function^signaling receptor binding`GO:0006637^biological_process^acyl-CoA metabolic process`GO:0046951^biological_process^ketone body biosynthetic process`GO:0006629^biological_process^lipid metabolic process`GO:0001889^biological_process^liver development`GO:0007005^biological_process^mitochondrion organization`GO:0051262^biological_process^protein tetramerization`GO:0070542^biological_process^response to fatty acid`GO:0007584^biological_process^response to nutrient`GO:0042594^biological_process^response to starvation"	"."	"."	"."	"Sc0000890"	85560	92335
"Mcavernosa17516"	1.81682613553304e-05	"Mcavernosa17516"	"."	"."	"Mcavernosa17516"	"1-234[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000642"	68746	143794
"Mcavernosa27846"	1.82068676065991e-05	"Mcavernosa27846"	"."	"."	"Mcavernosa27846"	"1-453[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000175"	425136	445298
"Mcavernosa00655"	2.26729298296821e-05	"Mcavernosa00655"	"APRV1_HUMAN^APRV1_HUMAN^Q:139-354,H:97-312^24.66%ID^E:6e-08^RecName: Full=Retroviral-like aspartic protease 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"."	"Mcavernosa00655"	"1-1617[+]"	"APRV1_HUMAN^APRV1_HUMAN^Q:139-354,H:97-312^24.66%ID^E:6e-08^RecName: Full=Retroviral-like aspartic protease 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo"	"PF13975.5^gag-asp_proteas^gag-polyprotein putative aspartyl protease^252-332^E:1.2e-06"	"."	"."	"ENOG410ZM0E^aspartic-type endopeptidase activity"	"KEGG:hsa:151516"	"GO:0016021^cellular_component^integral component of membrane`GO:0004190^molecular_function^aspartic-type endopeptidase activity`GO:0016485^biological_process^protein processing`GO:0043588^biological_process^skin development"	"."	"."	"."	"Sc0000011"	1128371	1217309
"Mcavernosa31705"	3.01386937721929e-05	"Mcavernosa31705"	"TM248_BOVIN^TM248_BOVIN^Q:1-263,H:1-296^28.86%ID^E:9e-24^RecName: Full=Transmembrane protein 248;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`TM248_XENLA^TM248_XENLA^Q:8-273,H:9-307^28.57%ID^E:5e-23^RecName: Full=Transmembrane protein 248;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TM248_MOUSE^TM248_MOUSE^Q:8-263,H:8-296^29.11%ID^E:1e-22^RecName: Full=Transmembrane protein 248;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa31705"	"1-2312[+]"	"TM248_BOVIN^TM248_BOVIN^Q:1-263,H:1-296^28.86%ID^E:9e-24^RecName: Full=Transmembrane protein 248;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`TM248_XENLA^TM248_XENLA^Q:8-273,H:9-307^28.57%ID^E:5e-23^RecName: Full=Transmembrane protein 248;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TM248_MOUSE^TM248_MOUSE^Q:8-263,H:8-296^29.11%ID^E:1e-22^RecName: Full=Transmembrane protein 248;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF14940.5^TMEM219^Transmembrane 219^12-229^E:7.7e-40"	"."	"ExpAA=49.98^PredHel=2^Topology=i21-43o235-257i"	"ENOG4110155^Transmembrane protein 248"	"KEGG:bta:511252"	"GO:0016021^cellular_component^integral component of membrane"	"."	"."	"."	"Sc0000266"	156667	165184
"Mcavernosa34955"	4.59976269047862e-05	"Mcavernosa34955"	"POLR_DROME^POLR_DROME^Q:23-91,H:545-613^42.03%ID^E:6e-06^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora"	"."	"Mcavernosa34955"	"1-636[+]"	"POLR_DROME^POLR_DROME^Q:23-91,H:545-613^42.03%ID^E:6e-06^RecName: Full=Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM;^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora"	"."	"."	"."	"."	"."	"GO:0004190^molecular_function^aspartic-type endopeptidase activity`GO:0004519^molecular_function^endonuclease activity`GO:0046872^molecular_function^metal ion binding`GO:0003676^molecular_function^nucleic acid binding`GO:0003964^molecular_function^RNA-directed DNA polymerase activity"	"."	"."	"."	"xpSc0004909"	26318	26953
"Mcavernosa20767"	5.15453768088458e-05	"Mcavernosa20767"	"CTXA_CARAL^CTXA_CARAL^Q:66-181,H:76-186^29.91%ID^E:5e-09^RecName: Full=Toxin CaTX-A;^Eukaryota; Metazoa; Cnidaria; Cubozoa; Carybdeida; Alatinidae; Alatina`CTX1_CARRA^CTX1_CARRA^Q:71-129,H:70-128^42.37%ID^E:4e-06^RecName: Full=Toxin CrTX-A;^Eukaryota; Metazoa; Cnidaria; Cubozoa; Carybdeida; Carybdeidae; Carybdea"	"."	"Mcavernosa20767"	"1-609[+]"	"CTXA_CARAL^CTXA_CARAL^Q:66-181,H:76-186^29.91%ID^E:5e-09^RecName: Full=Toxin CaTX-A;^Eukaryota; Metazoa; Cnidaria; Cubozoa; Carybdeida; Alatinidae; Alatina`CTX1_CARRA^CTX1_CARRA^Q:71-129,H:70-128^42.37%ID^E:4e-06^RecName: Full=Toxin CrTX-A;^Eukaryota; Metazoa; Cnidaria; Cubozoa; Carybdeida; Carybdeidae; Carybdea"	"."	"."	"."	"."	"."	"GO:0005576^cellular_component^extracellular region`GO:0016021^cellular_component^integral component of membrane`GO:0042151^cellular_component^nematocyst`GO:0044218^cellular_component^other organism cell membrane`GO:0090729^molecular_function^toxin activity`GO:0044179^biological_process^hemolysis in other organism`GO:0006811^biological_process^ion transport"	"."	"."	"."	"Sc0000619"	97560	107540
