"gene"	"adj.pval.sym"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa21328"	8.95494383071553e-38	"Mcavernosa21328"	"TRAF6_XENTR^TRAF6_XENTR^Q:13-161,H:57-200^40%ID^E:1e-22^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:11-155,H:55-194^41.1%ID^E:2e-20^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:11-155,H:53-192^38.36%ID^E:4e-20^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRAF6_XENTR^TRAF6_XENTR^Q:319-420,H:104-200^38.24%ID^E:2e-09^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:319-420,H:104-200^39.22%ID^E:8e-09^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:319-425,H:102-203^35.51%ID^E:3e-07^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa21328"	"1-1827[+]"	"TRAF6_XENTR^TRAF6_XENTR^Q:13-161,H:57-200^40%ID^E:1e-22^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:11-155,H:55-194^41.1%ID^E:2e-20^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:11-155,H:53-192^38.36%ID^E:4e-20^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRAF6_XENTR^TRAF6_XENTR^Q:319-420,H:104-200^38.24%ID^E:2e-09^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:319-420,H:104-200^39.22%ID^E:8e-09^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:319-425,H:102-203^35.51%ID^E:3e-07^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF00097.24^zf-C3HC4^Zinc finger, C3HC4 type (RING finger)^28-66^E:1.3e-05`PF13445.5^zf-RING_UBOX^RING-type zinc-finger^28-66^E:2.2e-05"	"."	"."	"ENOG410XTXK^TNF receptor-associated factor 6, E3 ubiquitin protein ligase"	"KEGG:xtr:493524`KO:K03175"	"GO:0005737^cellular_component^cytoplasm`GO:0005164^molecular_function^tumor necrosis factor receptor binding`GO:0004842^molecular_function^ubiquitin-protein transferase activity`GO:0008270^molecular_function^zinc ion binding`GO:0070534^biological_process^protein K63-linked ubiquitination`GO:0042981^biological_process^regulation of apoptotic process`GO:0043122^biological_process^regulation of I-kappaB kinase/NF-kappaB signaling`GO:0007165^biological_process^signal transduction"	"GO:0046872^molecular_function^metal ion binding"	"."	"."	"Sc0000518"	60002	80784
"Mcavernosa06053"	1.51727141760724e-33	"Mcavernosa06053"	"PUR9_CHICK^PUR9_CHICK^Q:75-159,H:253-337^75.29%ID^E:5e-38^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus`PUR9_BOVIN^PUR9_BOVIN^Q:75-159,H:252-336^75.29%ID^E:2e-37^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`PUR9_MOUSE^PUR9_MOUSE^Q:75-159,H:252-336^76.47%ID^E:5e-37^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`PUR9_CHICK^PUR9_CHICK^Q:9-108,H:49-200^38.06%ID^E:3e-17^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus`PUR9_BOVIN^PUR9_BOVIN^Q:9-108,H:48-199^35.48%ID^E:6e-15^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`PUR9_MOUSE^PUR9_MOUSE^Q:9-60,H:48-151^42.31%ID^E:3e-14^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa06053"	"1-477[+]"	"PUR9_CHICK^PUR9_CHICK^Q:75-159,H:253-337^75.29%ID^E:5e-38^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus`PUR9_BOVIN^PUR9_BOVIN^Q:75-159,H:252-336^75.29%ID^E:2e-37^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`PUR9_MOUSE^PUR9_MOUSE^Q:75-159,H:252-336^76.47%ID^E:5e-37^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`PUR9_CHICK^PUR9_CHICK^Q:9-108,H:49-200^38.06%ID^E:3e-17^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Phasianinae; Gallus`PUR9_BOVIN^PUR9_BOVIN^Q:9-108,H:48-199^35.48%ID^E:6e-15^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos`PUR9_MOUSE^PUR9_MOUSE^Q:9-60,H:48-151^42.31%ID^E:3e-14^RecName: Full=Bifunctional purine biosynthesis protein PURH;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF01808.17^AICARFT_IMPCHas^AICARFT/IMPCHase bienzyme^84-158^E:1.6e-13"	"."	"."	"COG0138^bifunctional purine biosynthesis protein PURH"	"KEGG:gga:396091`KO:K00602"	"GO:0005829^cellular_component^cytosol`GO:0003937^molecular_function^IMP cyclohydrolase activity`GO:0004643^molecular_function^phosphoribosylaminoimidazolecarboxamide formyltransferase activity`GO:0042803^molecular_function^protein homodimerization activity`GO:0006189^biological_process^'de novo' IMP biosynthetic process"	"GO:0003937^molecular_function^IMP cyclohydrolase activity`GO:0004643^molecular_function^phosphoribosylaminoimidazolecarboxamide formyltransferase activity`GO:0006164^biological_process^purine nucleotide biosynthetic process"	"."	"."	"Sc0000134"	274861	308008
"Mcavernosa06054"	1.51727141760724e-33	"Mcavernosa06054"	"."	"."	"Mcavernosa06054"	"1-768[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000134"	274877	311112
"Mcavernosa27528"	1.81699028449059e-31	"Mcavernosa27528"	"."	"."	"Mcavernosa27528"	"1-492[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0001031"	5622	24210
"Mcavernosa27846"	8.05918442344091e-31	"Mcavernosa27846"	"."	"."	"Mcavernosa27846"	"1-453[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000175"	425136	445298
"Mcavernosa21537"	1.59675810189354e-29	"Mcavernosa21537"	"."	"."	"Mcavernosa21537"	"1-339[+]"	"."	"."	"."	"ExpAA=21.42^PredHel=1^Topology=o15-37i"	"."	"."	"."	"."	"."	"."	"Sc0000528"	18819	96401
"Mcavernosa16752"	3.35644649217206e-29	"Mcavernosa16752"	"."	"."	"Mcavernosa16752"	"1-900[+]"	"."	"."	"sigP:1^30^0.744^YES"	"."	"."	"."	"."	"."	"."	"."	"Sc0000063"	615255	630799
"Mcavernosa29916"	3.35644649217206e-29	"Mcavernosa29916"	"CAAP1_MOUSE^CAAP1_MOUSE^Q:63-137,H:110-184^41.33%ID^E:5e-12^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`CAAP1_HUMAN^CAAP1_HUMAN^Q:65-139,H:132-206^41.33%ID^E:3e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`CAAP1_BOVIN^CAAP1_BOVIN^Q:65-250,H:133-355^26.03%ID^E:5e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"."	"Mcavernosa29916"	"1-1235[+]"	"CAAP1_MOUSE^CAAP1_MOUSE^Q:63-137,H:110-184^41.33%ID^E:5e-12^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`CAAP1_HUMAN^CAAP1_HUMAN^Q:65-139,H:132-206^41.33%ID^E:3e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`CAAP1_BOVIN^CAAP1_BOVIN^Q:65-250,H:133-355^26.03%ID^E:5e-11^RecName: Full=Caspase activity and apoptosis inhibitor 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos"	"PF15335.5^CAAP1^Caspase activity and apoptosis inhibitor 1^66-128^E:8.7e-19"	"."	"."	"ENOG4111MJZ^caspase activity and apoptosis inhibitor 1"	"KEGG:mmu:67770"	"GO:0006915^biological_process^apoptotic process`GO:0042981^biological_process^regulation of apoptotic process"	"GO:0042981^biological_process^regulation of apoptotic process"	"."	"."	"xfSc0000073"	22876	29220
"Mcavernosa20700"	7.77719288402417e-29	"Mcavernosa20700"	"."	"."	"Mcavernosa20700"	"1-1510[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"xfSc0000042"	22897	78347
"Mcavernosa27686"	5.08801893643064e-27	"Mcavernosa27686"	"."	"."	"Mcavernosa27686"	"1-846[+]"	"."	"PF00147.17^Fibrinogen_C^Fibrinogen beta and gamma chains, C-terminal globular domain^104-148^E:1.3e-05"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0001061"	23866	36099
"Mcavernosa24796"	1.3645750059069e-26	"Mcavernosa24796"	"."	"."	"Mcavernosa24796"	"1-3552[+]"	"."	"PF03564.14^DUF1759^Protein of unknown function (DUF1759)^496-648^E:6.8e-09"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000051"	756487	761881
"Mcavernosa31888"	6.43600432975167e-26	"Mcavernosa31888"	"."	"."	"Mcavernosa31888"	"1-1269[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000272"	522	16414
"Mcavernosa29364"	9.38998653475163e-26	"Mcavernosa29364"	"."	"."	"Mcavernosa29364"	"1-849[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0001496"	18037	19661
