"gene"	"adj.pval.trt2"	"transcript_id"	"sprot_Top_BLASTX_hit"	"RNAMMER"	"prot_id"	"prot_coords"	"sprot_Top_BLASTP_hit"	"Pfam"	"SignalP"	"TmHMM"	"eggnog"	"Kegg"	"gene_ontology_blast"	"gene_ontology_pfam"	"transcript"	"peptide"	"scaffold"	"start"	"stop"
"Mcavernosa06326"	4.74203401970996e-08	"Mcavernosa06326"	"."	"."	"Mcavernosa06326"	"1-363[+]"	"."	"."	"."	"ExpAA=22.04^PredHel=1^Topology=o66-88i"	"."	"."	"."	"."	"."	"."	"Sc0000000"	1727075	1742964
"Mcavernosa06327"	4.74203401970996e-08	"Mcavernosa06327"	"."	"."	"Mcavernosa06327"	"1-693[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000000"	1735509	1738810
"Mcavernosa21328"	6.17662680278919e-08	"Mcavernosa21328"	"TRAF6_XENTR^TRAF6_XENTR^Q:13-161,H:57-200^40%ID^E:1e-22^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:11-155,H:55-194^41.1%ID^E:2e-20^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:11-155,H:53-192^38.36%ID^E:4e-20^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRAF6_XENTR^TRAF6_XENTR^Q:319-420,H:104-200^38.24%ID^E:2e-09^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:319-420,H:104-200^39.22%ID^E:8e-09^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:319-425,H:102-203^35.51%ID^E:3e-07^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa21328"	"1-1827[+]"	"TRAF6_XENTR^TRAF6_XENTR^Q:13-161,H:57-200^40%ID^E:1e-22^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:11-155,H:55-194^41.1%ID^E:2e-20^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:11-155,H:53-192^38.36%ID^E:4e-20^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus`TRAF6_XENTR^TRAF6_XENTR^Q:319-420,H:104-200^38.24%ID^E:2e-09^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`TRF6A_XENLA^TRF6A_XENLA^Q:319-420,H:104-200^39.22%ID^E:8e-09^RecName: Full=TNF receptor-associated factor 6-A;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus`TRAF6_MOUSE^TRAF6_MOUSE^Q:319-425,H:102-203^35.51%ID^E:3e-07^RecName: Full=TNF receptor-associated factor 6;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF00097.24^zf-C3HC4^Zinc finger, C3HC4 type (RING finger)^28-66^E:1.3e-05`PF13445.5^zf-RING_UBOX^RING-type zinc-finger^28-66^E:2.2e-05"	"."	"."	"ENOG410XTXK^TNF receptor-associated factor 6, E3 ubiquitin protein ligase"	"KEGG:xtr:493524`KO:K03175"	"GO:0005737^cellular_component^cytoplasm`GO:0005164^molecular_function^tumor necrosis factor receptor binding`GO:0004842^molecular_function^ubiquitin-protein transferase activity`GO:0008270^molecular_function^zinc ion binding`GO:0070534^biological_process^protein K63-linked ubiquitination`GO:0042981^biological_process^regulation of apoptotic process`GO:0043122^biological_process^regulation of I-kappaB kinase/NF-kappaB signaling`GO:0007165^biological_process^signal transduction"	"GO:0046872^molecular_function^metal ion binding"	"."	"."	"Sc0000518"	60002	80784
"Mcavernosa00695"	1.78477498276868e-07	"Mcavernosa00695"	"GTR3_HUMAN^GTR3_HUMAN^Q:72-435,H:117-491^47.35%ID^E:4e-106^RecName: Full=Solute carrier family 2, facilitated glucose transporter member 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`GTR3_PONAB^GTR3_PONAB^Q:72-435,H:117-491^47.09%ID^E:1e-105^RecName: Full=Solute carrier family 2, facilitated glucose transporter member 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`GTR1_SHEEP^GTR1_SHEEP^Q:88-414,H:31-367^48.66%ID^E:1e-104^RecName: Full=Solute carrier family 2, facilitated glucose transporter member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis"	"."	"Mcavernosa00695"	"1-1480[+]"	"GTR3_HUMAN^GTR3_HUMAN^Q:72-435,H:117-491^47.35%ID^E:4e-106^RecName: Full=Solute carrier family 2, facilitated glucose transporter member 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`GTR3_PONAB^GTR3_PONAB^Q:72-435,H:117-491^47.09%ID^E:1e-105^RecName: Full=Solute carrier family 2, facilitated glucose transporter member 3;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`GTR1_SHEEP^GTR1_SHEEP^Q:88-414,H:31-367^48.66%ID^E:1e-104^RecName: Full=Solute carrier family 2, facilitated glucose transporter member 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis"	"PF00083.23^Sugar_tr^Sugar (and other) transporter^88-412^E:6.8e-91"	"."	"ExpAA=179.40^PredHel=8^Topology=i33-55o65-87i108-130o140-162i281-303o313-335i348-370o375-397i"	"COG0477^major facilitator Superfamily"	"KEGG:hsa:6515`KO:K08142"	"GO:0070062^cellular_component^extracellular exosome`GO:0101003^cellular_component^ficolin-1-rich granule membrane`GO:0016021^cellular_component^integral component of membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0005886^cellular_component^plasma membrane`GO:0030667^cellular_component^secretory granule membrane`GO:0035579^cellular_component^specific granule membrane`GO:0070821^cellular_component^tertiary granule membrane`GO:0055056^molecular_function^D-glucose transmembrane transporter activity`GO:0033300^molecular_function^dehydroascorbic acid transmembrane transporter activity`GO:0005536^molecular_function^glucose binding`GO:0005355^molecular_function^glucose transmembrane transporter activity`GO:0005975^biological_process^carbohydrate metabolic process`GO:1904659^biological_process^glucose transmembrane transport`GO:0019852^biological_process^L-ascorbic acid metabolic process`GO:0043312^biological_process^neutrophil degranulation"	"GO:0022857^molecular_function^transmembrane transporter activity`GO:0055085^biological_process^transmembrane transport`GO:0016021^cellular_component^integral component of membrane"	"."	"."	"Sc0000012"	220348	257276
"Mcavernosa10513"	2.48995245189434e-07	"Mcavernosa10513"	"HOIL1_DICLA^HOIL1_DICLA^Q:27-318,H:374-661^51.19%ID^E:1e-105^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Moronidae; Dicentrarchus`HOIL1_DANRE^HOIL1_DANRE^Q:43-318,H:400-668^54.35%ID^E:7e-104^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`HOIL1_MOUSE^HOIL1_MOUSE^Q:42-318,H:193-462^52.35%ID^E:2e-97^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa10513"	"1-3442[+]"	"HOIL1_DICLA^HOIL1_DICLA^Q:27-318,H:374-661^51.19%ID^E:1e-105^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Moronidae; Dicentrarchus`HOIL1_DANRE^HOIL1_DANRE^Q:43-318,H:400-668^54.35%ID^E:7e-104^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio`HOIL1_MOUSE^HOIL1_MOUSE^Q:42-318,H:193-462^52.35%ID^E:2e-97^RecName: Full=RanBP-type and C3HC4-type zinc finger-containing protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF00641.17^zf-RanBP^Zn-finger in Ran binding protein and others^43-68^E:4.8e-08`PF00097.24^zf-C3HC4^Zinc finger, C3HC4 type (RING finger)^136-178^E:1.3e-05`PF13445.5^zf-RING_UBOX^RING-type zinc-finger^136-178^E:5.6e-05"	"."	"."	"."	"."	"GO:0071797^cellular_component^LUBAC complex`GO:0046872^molecular_function^metal ion binding`GO:0016740^molecular_function^transferase activity`GO:0043130^molecular_function^ubiquitin binding`GO:0043123^biological_process^positive regulation of I-kappaB kinase/NF-kappaB signaling`GO:0097039^biological_process^protein linear polyubiquitination"	"GO:0046872^molecular_function^metal ion binding"	"."	"."	"Sc0000426"	230598	250225
"Mcavernosa18093"	2.60406645126519e-07	"Mcavernosa18093"	"."	"."	"Mcavernosa18093"	"1-519[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"xfSc0000052"	90250	108406
"Mcavernosa29562"	9.7709701527993e-07	"Mcavernosa29562"	"."	"."	"Mcavernosa29562"	"1-1611[+]"	"."	"PF02037.26^SAP^SAP domain^59-86^E:1.3e-07`PF09588.9^YqaJ^YqaJ-like viral recombinase domain^400-512^E:9.9e-08"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000766"	74958	77171
"Mcavernosa26560"	1.07188522751424e-06	"Mcavernosa26560"	"SIRT1_DROME^SIRT1_DROME^Q:107-166,H:151-231^33.33%ID^E:1e-05^RecName: Full=NAD-dependent histone deacetylase sirtuin-1 {ECO:0000312|FlyBase:FBgn0024291};^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora"	"."	"Mcavernosa26560"	"1-498[+]"	"SIRT1_DROME^SIRT1_DROME^Q:107-166,H:151-231^33.33%ID^E:1e-05^RecName: Full=NAD-dependent histone deacetylase sirtuin-1 {ECO:0000312|FlyBase:FBgn0024291};^Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora"	"."	"."	"."	"COG0846^NAD-dependent protein deacetylase which modulates the activities of several enzymes which are inactive in their acetylated form"	"KEGG:dme:Dmel_CG5216`KO:K11411"	"GO:0005694^cellular_component^chromosome`GO:0005737^cellular_component^cytoplasm`GO:0005654^cellular_component^nucleoplasm`GO:0005634^cellular_component^nucleus`GO:0004407^molecular_function^histone deacetylase activity`GO:0046872^molecular_function^metal ion binding`GO:0070403^molecular_function^NAD+ binding`GO:0017136^molecular_function^NAD-dependent histone deacetylase activity`GO:0033558^molecular_function^protein deacetylase activity`GO:0008134^molecular_function^transcription factor binding`GO:0048149^biological_process^behavioral response to ethanol`GO:0032869^biological_process^cellular response to insulin stimulus`GO:0006342^biological_process^chromatin silencing`GO:0008340^biological_process^determination of adult lifespan`GO:0016575^biological_process^histone deacetylation`GO:2000253^biological_process^positive regulation of feeding behavior`GO:0006476^biological_process^protein deacetylation`GO:0042981^biological_process^regulation of apoptotic process`GO:0035065^biological_process^regulation of histone acetylation`GO:1901416^biological_process^regulation of response to ethanol`GO:0006355^biological_process^regulation of transcription, DNA-templated`GO:0006351^biological_process^transcription, DNA-templated"	"."	"."	"."	"xfSc0000031"	16759	20167
"Mcavernosa20880"	1.95571626397487e-06	"Mcavernosa20880"	"."	"."	"Mcavernosa20880"	"1-822[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000628"	46908	47729
"Mcavernosa15624"	2.76758096961787e-06	"Mcavernosa15624"	"."	"."	"Mcavernosa15624"	"1-336[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000392"	179871	180206
"Mcavernosa10991"	3.04542864604815e-06	"Mcavernosa10991"	"DPOL_DHBV1^DPOL_DHBV1^Q:404-565,H:524-686^27.11%ID^E:2e-10^RecName: Full=Protein P;^Viruses; Retro-transcribing viruses; Hepadnaviridae; Avihepadnavirus`DPOL_HPBDW^DPOL_HPBDW^Q:404-565,H:476-638^27.71%ID^E:2e-10^RecName: Full=Protein P;^Viruses; Retro-transcribing viruses; Hepadnaviridae; Avihepadnavirus`DPOL_HPBDB^DPOL_HPBDB^Q:404-565,H:476-638^26.06%ID^E:5e-10^RecName: Full=Protein P;^Viruses; Retro-transcribing viruses; Hepadnaviridae; Avihepadnavirus"	"."	"Mcavernosa10991"	"1-1728[+]"	"DPOL_DHBV1^DPOL_DHBV1^Q:404-565,H:524-686^27.11%ID^E:2e-10^RecName: Full=Protein P;^Viruses; Retro-transcribing viruses; Hepadnaviridae; Avihepadnavirus`DPOL_HPBDW^DPOL_HPBDW^Q:404-565,H:476-638^27.71%ID^E:2e-10^RecName: Full=Protein P;^Viruses; Retro-transcribing viruses; Hepadnaviridae; Avihepadnavirus`DPOL_HPBDB^DPOL_HPBDB^Q:404-565,H:476-638^26.06%ID^E:5e-10^RecName: Full=Protein P;^Viruses; Retro-transcribing viruses; Hepadnaviridae; Avihepadnavirus"	"PF00078.26^RVT_1^Reverse transcriptase (RNA-dependent DNA polymerase)^354-491^E:2.1e-15"	"."	"."	"."	"."	"GO:0003677^molecular_function^DNA binding`GO:0003887^molecular_function^DNA-directed DNA polymerase activity`GO:0046872^molecular_function^metal ion binding`GO:0003964^molecular_function^RNA-directed DNA polymerase activity`GO:0004523^molecular_function^RNA-DNA hybrid ribonuclease activity`GO:0006260^biological_process^DNA replication`GO:0090502^biological_process^RNA phosphodiester bond hydrolysis, endonucleolytic"	"."	"."	"."	"Sc0000448"	8567	54301
"Mcavernosa25803"	3.36697709036929e-06	"Mcavernosa25803"	"."	"."	"Mcavernosa25803"	"1-1326[+]"	"."	"PF05585.11^DUF1758^Putative peptidase (DUF1758)^249-379^E:5.8e-05"	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000859"	75974	78076
"Mcavernosa10960"	6.5716383120379e-06	"Mcavernosa10960"	"AP2S1_RAT^AP2S1_RAT^Q:61-111,H:1-51^96.08%ID^E:8e-27^RecName: Full=AP-2 complex subunit sigma;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`AP2S1_PONAB^AP2S1_PONAB^Q:61-111,H:1-51^96.08%ID^E:8e-27^RecName: Full=AP-2 complex subunit sigma;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`AP2S1_MOUSE^AP2S1_MOUSE^Q:61-111,H:1-51^96.08%ID^E:8e-27^RecName: Full=AP-2 complex subunit sigma;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"."	"Mcavernosa10960"	"1-891[+]"	"AP2S1_RAT^AP2S1_RAT^Q:61-111,H:1-51^96.08%ID^E:8e-27^RecName: Full=AP-2 complex subunit sigma;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus`AP2S1_PONAB^AP2S1_PONAB^Q:61-111,H:1-51^96.08%ID^E:8e-27^RecName: Full=AP-2 complex subunit sigma;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Pongo`AP2S1_MOUSE^AP2S1_MOUSE^Q:61-111,H:1-51^96.08%ID^E:8e-27^RecName: Full=AP-2 complex subunit sigma;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"	"PF01217.19^Clat_adaptor_s^Clathrin adaptor complex small chain^61-112^E:9.7e-16"	"."	"."	"COG5030^Adaptor-related protein complex"	"KEGG:rno:65046`KO:K11827"	"GO:0030122^cellular_component^AP-2 adaptor complex`GO:0005886^cellular_component^plasma membrane`GO:0008565^molecular_function^protein transporter activity`GO:0006897^biological_process^endocytosis`GO:0006886^biological_process^intracellular protein transport"	"."	"."	"."	"Sc0000446"	12829	30520
"Mcavernosa20479"	7.60605423898468e-06	"Mcavernosa20479"	"MOT12_XENTR^MOT12_XENTR^Q:378-501,H:61-184^33.06%ID^E:3e-15^RecName: Full=Monocarboxylate transporter 12;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`MOT12_HUMAN^MOT12_HUMAN^Q:378-548,H:61-227^31.07%ID^E:4e-15^RecName: Full=Monocarboxylate transporter 12;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`MT12B_DANRE^MT12B_DANRE^Q:378-524,H:61-211^32.45%ID^E:6e-15^RecName: Full=Monocarboxylate transporter 12-B;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"."	"Mcavernosa20479"	"1-1752[+]"	"MOT12_XENTR^MOT12_XENTR^Q:378-501,H:61-184^33.06%ID^E:3e-15^RecName: Full=Monocarboxylate transporter 12;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Silurana`MOT12_HUMAN^MOT12_HUMAN^Q:378-548,H:61-227^31.07%ID^E:4e-15^RecName: Full=Monocarboxylate transporter 12;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo`MT12B_DANRE^MT12B_DANRE^Q:378-524,H:61-211^32.45%ID^E:6e-15^RecName: Full=Monocarboxylate transporter 12-B;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio"	"PF07690.15^MFS_1^Major Facilitator Superfamily^389-529^E:1.2e-19"	"."	"ExpAA=80.20^PredHel=3^Topology=o426-448i461-483o493-511i"	"."	"KEGG:xtr:394932`KO:K11810"	"GO:0005887^cellular_component^integral component of plasma membrane`GO:0005308^molecular_function^creatine transmembrane transporter activity`GO:0008028^molecular_function^monocarboxylic acid transmembrane transporter activity`GO:0015293^molecular_function^symporter activity`GO:0015881^biological_process^creatine transmembrane transport`GO:0015718^biological_process^monocarboxylic acid transport"	"GO:0055085^biological_process^transmembrane transport`GO:0016021^cellular_component^integral component of membrane"	"."	"."	"Sc0000605"	37007	45630
"Mcavernosa07334"	1.36508134351435e-05	"Mcavernosa07334"	"."	"."	"Mcavernosa07334"	"1-579[+]"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"Sc0000036"	520726	539956
